,VGAMpValue,Variance
AFP,2.64033721851222e-252,38.8576460209259
ESRG,2.01519515060327e-230,11.1533415515431
SERPINA1,1.07466546119091e-219,5.33958279232828
RBP4,5.76477955458148e-216,24.4341773476576
APOC3,9.96686788413896e-207,29.1464110124641
APOA2,1.53571518829822e-187,26.1769976207802
FGB,2.12308161949661e-187,33.5550696769193
POU5F1,6.68615966203961e-178,0.0946504118614868
TTR,8.41598979369937e-176,33.1603223019185
VTN,1.45251172840369e-172,17.950346544103
APOA1,1.37327357252804e-165,25.5058751420867
GSTA1,1.93077784742263e-164,17.7672730553687
SFRP2,1.27168718972331e-163,4.12462584393507
TDGF1,1.83241159726194e-163,15.1371065148896
APOA4,4.1139691955091e-162,21.7390068146661
FGA,4.59651401262576e-157,21.7444902224048
THY1,1.19453166593468e-153,7.36770749391861
SAT1,1.62917322047424e-152,5.82830195924891
FGG,3.27519109788535e-150,29.6202223549699
APOB,1.15156439417677e-147,12.5819633175202
SPP1,2.71385302923951e-147,10.6755867476605
LGALS3,1.60267375658691e-143,17.613883191902
LIN28A,1.22103152498988e-142,8.6044176478962
SCGB3A2,4.86987753126893e-141,7.59114430522066
ADD2,1.17195881624857e-139,2.79417605356119
GSTA2,3.79470857258983e-139,15.4344930861598
L1TD1,9.63726458681687e-139,11.0539343847155
HHLA1,4.74789446180517e-137,2.80332981702629
S100A14,1.59256104073951e-136,14.4068566249157
AGT,4.27743378493498e-133,10.5620254303892
NANOG,1.0903019122529e-131,4.06375951917451
PTMA,1.65071194835898e-126,4.03827091815583
ABHD12B,1.98182516338195e-123,5.28839976240126
S100A16,1.51373567577313e-119,10.7360876559573
USP44,7.65148093728944e-119,7.67099660377355
LECT1,1.8361691634968e-118,6.00849848446996
HPX,6.19798555418936e-118,14.7907169441217
DNMT3B,4.82835467280356e-116,9.69255878515284
DPEP1,1.12693479076132e-115,11.2715567823468
B4GALT1,7.48309577000097e-115,4.49013634234335
SPINK1,5.72189162607655e-111,23.8648757587574
CDCA7L,4.12810002901601e-110,6.18850536111007
APOC4.APOC2,1.96061999265583e-106,11.9124614301479
SCG3,4.1619923067691e-106,3.8444824152701
HELLS,4.38314411687136e-104,8.69823530771182
GAL,1.59307507624475e-103,6.20488801456269
SEPP1,2.48483587987667e-103,15.1782077727775
PRKCE,9.94567437998417e-101,9.54747891915176
F2,1.658335152115e-100,8.68557199120332
SYT1,4.9134606681616e-99,3.60520425375474
LGALS2,5.65610100094428e-99,6.91339420742142
CFB,7.84981532074919e-99,0.166517675004524
C20orf27,2.17878257845482e-98,5.57216772295872
HSP90AB1,5.5570115331478e-98,1.12067213133619
POLR3G,1.10639689362593e-97,5.68655738700244
VASH2,1.49132598575108e-97,5.08412527587593
RAMP1,3.13468807230367e-97,9.61777610808113
HGD,1.20366646261759e-96,11.6376235282288
SULT1A2,2.15938753494258e-95,7.0434606160134
PRDM14,3.23071787637613e-95,2.54655437863319
FABP1,2.6246344522945e-94,10.8632281628086
AKR1D1,2.71972576362959e-94,10.1310718484605
HMGA1,7.43573522855066e-94,4.19130761257195
AHSG,2.2498992338188e-93,12.1275068352501
NPM1,1.68627264517815e-92,1.97337015004623
MTTP,4.38982763198138e-92,8.13324942423415
ANPEP,6.54456855204653e-92,10.4580460005643
PDPN,1.68691851458562e-91,5.79732374077861
STMN1,4.71198861415424e-91,8.30301076321255
TUBA1A,7.92660592807663e-91,4.71696073309968
HNRNPA1,7.68041498549464e-90,1.41641154088641
MEP1A,9.69741740712612e-90,7.32326891900967
BIRC5,1.41315790452548e-88,9.45135273843103
SET,1.91388066690817e-88,3.18996710625333
HNRNPA1L2,2.43946615597386e-88,1.97696882258616
ETV4,2.62132567891254e-88,4.65924388922965
GNRH2,2.83373533617096e-88,14.7957398441177
CRABP1,4.50296130634199e-88,4.38635149211076
PIM2,5.93238324932806e-88,7.18043726891687
SETSIP,1.40539348951724e-87,2.82756896958474
ALB,1.00842063297897e-84,10.3615370847869
HNRNPA2B1,1.93618887515843e-84,2.43123903880552
UBE2C,2.1287470270344e-84,15.0108471973811
IFITM1,1.86529702374734e-83,13.8924023436946
HMGB1,2.12165748844279e-82,2.84409896841939
PHC1,9.6150979485252e-82,5.63501144878896
DDC,1.1352935525485e-81,8.17176002583255
SKA3,1.65216338958944e-81,6.75222408364839
ANP32E,4.86972858461774e-81,7.15412203547476
AIF1L,8.44387285466769e-81,3.92204529728764
ZG16,5.18714226158363e-80,3.47836225871519
APOC1,1.0192949504286e-79,6.58831274219172
APOC2,4.01100171301599e-79,8.03697558381185
AKR1B1,4.80217813310154e-79,8.66463255663771
VRTN,4.86846158157308e-79,2.98233541834197
RNASE4,5.85865750347552e-79,6.60200052714745
CD99,1.16636002337845e-78,3.83982176952004
NMRK2,1.39510496276889e-78,5.83759789031993
HP,3.30426607977661e-78,11.4302461197587
NTS,9.67439574846937e-78,3.36020147032659
VSNL1,1.09227123498317e-77,4.13734900016393
MST1,5.63302085762001e-77,9.34178736970884
ASGR2,7.29583218541923e-77,5.06718182612642
TRIM59,1.39255319154435e-76,7.78554029478777
GPM6B,1.55700447392899e-76,7.2848842647072
TERF1,6.13947220832537e-76,8.72696935852323
HMGB2,6.9089090835216e-76,10.1447209086057
ANXA2,7.07612146990938e-76,1.61725585135464
SLC7A3,7.18643769534485e-76,6.75247759538372
PSIP1,8.77528897115214e-76,6.58492673435383
MIA2,1.17747333501895e-75,5.37306804585065
ZIC2,3.51990247094745e-75,6.90113694790864
DPPA4,4.25718771325572e-75,8.64546175533428
CENPF,6.63093254698271e-75,7.89914466055732
SMLR1,6.74151999551713e-75,6.11935929071659
SLCO2B1,3.93489054756716e-74,5.4579390980023
SLC39A5,4.38550413918496e-74,6.31114965506949
CAMK2D,1.40368304173619e-73,8.93664758592368
CDCA7,2.30345404317148e-73,4.80438142023738
MSH2,1.08248950782998e-72,7.66360416802423
IFITM2,1.1028631723796e-72,12.7320547546774
CENPU,1.20131144709344e-72,7.65060594948019
A1CF,1.69470952875176e-72,5.67057678170323
DCLK1,3.10184904694916e-72,2.32476133198318
UGT2B11,6.15846595455806e-72,7.4180034720918
POU5F1B,6.4235825577027e-72,0.325620506977048
SERPIND1,8.87592666163227e-72,7.17116143744338
PRPS2,1.37816622501567e-71,7.36122514463033
TUBA1B,2.26804487252679e-71,5.82970255056813
HLA.DRB1,7.24857699934827e-71,0.143930720074694
CDKN1C,1.86751727695074e-70,2.0473611085673
EIF1AX,2.74009469764281e-70,1.71212089420666
UCHL1,3.74848572538303e-70,10.9409308290843
GSN,7.40659933092397e-70,8.32279608642449
SYT6,8.96256720535425e-70,2.08099491235236
HMGCS2,9.81736972946246e-70,17.1294327568414
CAPN12,1.57623327682007e-69,7.60695355533681
IL32,1.76047219487724e-69,10.3508019132238
CIDEB,2.32423849623456e-69,10.2621883933524
HMGA2,2.43979584212611e-69,3.58757486992741
PMAIP1,5.86409166406167e-69,9.1592321188575
FN1,8.04110973174182e-69,6.51582610338705
KIAA0101,9.0015683650875e-69,9.16417524317254
FXYD5,1.13065211883841e-68,7.39081947433184
SLC51A,1.16483087875503e-68,8.79542891827099
SOX2,3.68936601224402e-68,0.986564174636893
ASGR1,5.25944763931434e-68,8.26496530442683
ZNF121,6.53131533387532e-68,4.83105056300802
SULT1A1,8.22683723222868e-68,4.78088624945242
AURKB,1.04056529514608e-67,10.2933911135222
GINS2,1.64920497083669e-67,5.43251338893699
HPR,2.92816488220625e-67,6.40266904073466
CRMP1,7.45007430080628e-67,3.73157249174297
SLC38A1,8.55292125311132e-67,7.88117640322228
GPR133,1.15211678292804e-66,6.07764331619731
MCM4,1.31294919369749e-66,9.98495077584495
RRM2,1.47421536542307e-66,7.29528848033461
GABRB3,1.53823903645705e-66,4.25394294104746
ANG,4.14805897612486e-66,8.37160186865455
ZSCAN10,5.93458531994275e-66,2.23927404738776
CDC20,6.46055821081767e-66,10.7270614248681
B3GNT7,8.56693950982005e-66,6.06093605266458
FZD7,1.41451146955519e-65,5.18048564869752
TMSB15A,1.54310761492729e-65,3.47385084047381
FAM64A,3.85177128793407e-65,6.79048854928931
GFPT2,7.87017688102092e-65,5.32216317638067
TPM2,1.54313930584587e-64,7.44761407670122
HNF4A,5.00315577149517e-64,3.09814698904748
GAP43,5.27830311504279e-64,2.19260076914711
TUBB2B,8.40793701657705e-64,4.99290455120026
ZWINT,1.15397744285374e-63,9.03549980139799
TUBB,1.53782018806637e-63,0.0646268248320317
FOXH1,1.62259924918556e-63,4.55435575694041
PODXL,1.65731045823897e-63,5.18366311544956
CENPK,2.21347392256366e-63,9.73644928773712
SERBP1,2.5291037756732e-63,2.90344198259446
PCSK5,3.00387614771493e-63,4.78302921096006
ABCA1,3.94416181452978e-63,5.21284100567424
ACAA1,5.27062347084016e-63,8.02301679547482
PPIA,7.33586129585912e-63,1.11981161416242
APOE,7.52000729702797e-63,2.74347510132064
TM4SF5,8.63923818377962e-63,6.20635647578963
ITIH4,1.04866415140152e-62,7.25790721536281
GJB1,1.09868135796975e-62,4.58668814807795
FAM151A,1.56438404980368e-62,6.78692928187655
D4S234E,1.77464813853123e-62,2.22256878701554
MAP1B,3.79723720252816e-62,6.7066624627404
HMMR,4.09479778619462e-62,7.14828881637435
PLGLB1,4.96840690327861e-62,4.23722493628264
SOX11,6.3802788397032e-62,4.91717538904627
FAM114A1,1.27065446931816e-61,7.86958045163093
CDCA5,1.36154753893134e-61,5.50544676206793
CCNB2,1.61219646603513e-61,10.5941391810683
ENPP1,2.94487642922322e-61,3.14144593108755
PFDN4,3.03901603687395e-61,4.65335030713261
CLDN4,5.96759093056403e-61,6.24731702445014
CD200,6.25542393877813e-61,6.13807429851159
GNG3,6.42348886297012e-61,3.15582849511258
SLC10A1,6.52860452069328e-61,5.88751342300169
RGN,7.87508882308073e-61,7.01511242010787
GPC4,1.82250481894688e-60,3.62912125057637
TUBA4A,2.01259868035723e-60,4.12165113971669
