,VGAMpValue,Variance
CYBA,8.09817362687672e-132,3.60757254792585
SH3BGRL3,2.05975980062073e-130,3.35783118663504
PPIA,2.61771070017381e-125,3.59693124105807
ACTG1,3.72032441941768e-124,3.73852346212576
S100A11,4.05356755118713e-124,3.4432990445141
UBB,1.57640947647069e-122,3.92005685291981
CFL1,1.40862519740656e-120,2.18172502378053
B2M,1.23688282858714e-119,3.86555902807721
COX6A1,1.83857507933078e-119,3.75250698231945
ACTR2,1.93181175358671e-119,2.27550000221277
ACTB,1.63890997363786e-118,4.23055781220522
RPS18,1.35890520452511e-117,3.24203702302272
FCER1G,2.33422395056877e-117,3.90791007168467
MYL6,1.55598190587966e-116,2.99941508629393
LGALS3,7.11372007502092e-116,3.92304950585468
FTL1,1.8250937610181e-114,5.23957666084364
RPS14,1.06782641207861e-111,2.89468743552489
LAPTM5,4.78690654119798e-110,3.02635082594066
COX4I1,2.14730016601217e-109,3.05479446317859
SHFM1,5.82689267291357e-109,2.54611180249817
RPL41,1.20155949795784e-108,3.03646288628418
TYROBP,4.25093085203153e-108,4.32168593840188
RPL10,1.91288505412941e-107,2.80577901654442
RPL19,9.73653199662089e-107,2.89564004614379
CSTB,8.33092617363399e-106,3.26459002847982
YWHAZ,7.90553848120549e-105,1.86576582546082
BTG1,1.48648964738321e-104,3.14590904617513
RPL32,2.20057342668089e-102,2.96556628802851
GABARAP,1.74624281554695e-100,2.13416675780482
RPS25,4.42126127393256e-100,2.60231879534988
RPL9,1.24702037796033e-99,3.08583437199115
RPS11,1.93102662271246e-99,2.97016063271551
RPS9,2.76421301066564e-99,2.68705185212478
CALM1,3.79334891539418e-99,1.70649570726735
CTSZ,4.66882696552119e-99,3.12863502653404
ATP5L,1.71957450311195e-97,2.54149134955944
RPS27A,3.06496316359642e-97,2.56104564536357
RPS28,5.11361713874337e-97,3.00297385189065
HSP90AB1,6.74054065242163e-97,2.00478287552058
CTSS,1.99222384869981e-96,3.96286960890505
COX6B1,2.15848235231478e-96,2.5989508362537
ATOX1,3.12582945728727e-96,3.10710208741845
RPS3,3.16491758232734e-96,2.05864562889338
GPX1,1.64881696345512e-95,3.85996740113283
ATP6V0E,4.92044216308842e-95,3.18011325804027
RPS27,8.07345221084986e-94,2.61912493420552
GM15450,1.09311943032309e-93,2.65993510401033
RPL23,1.35428275080547e-93,1.91165651019586
UQCR11,1.73366522591031e-93,2.79234463235382
H2-D1,2.20939482888836e-93,2.96251925281213
RPS5,4.09044990115204e-93,3.01999287985743
RPS19,5.1507787819228e-93,3.16129471833687
ATP5E,7.38902539110651e-93,2.24179807881046
AKR1A4,7.85798853043278e-92,3.0727745137263
CLEC4N,2.97845900269577e-91,4.45086302022484
GM2A,1.63885782876021e-90,3.4043458540941
RPLP2,1.91424521785947e-90,2.14968807388511
RPS26,2.59545481661201e-90,2.20357464602485
RPLP0,2.9887399973383e-90,2.71584375514783
RPS16,5.41740075170547e-90,2.37059241801881
RPS13,5.4718473008882e-90,2.25567707495784
RPLP1,9.62562923388796e-90,2.52379962069517
UBA52,3.68278177349794e-89,2.42398268814902
ALDOA,4.61759188415596e-89,2.80456010022149
RPS3A,8.60112044792371e-89,2.7825774931256
HSPA8,4.68649664460897e-88,2.73282608129426
RPL7,1.20539484735523e-87,2.60491996340554
ARPC4,9.78849716870854e-87,1.77994349149094
RPL35,9.82553021015935e-87,2.45011927047098
GNG5,1.71976833724277e-86,2.64723831931054
