,VGAMpValue,Variance
Sparc,1.69976547790158e-270,3.5977283467123
Col4a2,2.14920689392676e-260,3.8081548247394
Col4a1,1.10146057722893e-257,4.99112199880376
Lamb1,4.28953237163086e-254,5.0181714298553
Serpinh1,1.68554333783702e-235,4.8791291978459
Lamc1,5.9264982917384e-234,2.20487278183627
Lama1,3.24597680519787e-231,3.86280293310357
Chchd10,6.73755389035403e-223,1.57643689858368
Srgn,1.6669309604245e-216,5.41171045472206
Gata4,3.66287140014487e-216,2.75089345414585
Pth1r,1.00241941215378e-212,1.62257682878423
Sept1,1.26177289874014e-212,3.05233990632441
Hs3st1,7.81172255050722e-212,2.55848537225291
P4ha1,2.01910119410602e-205,1.86148429070743
Gsta4,5.55279448600559e-199,1.82420907827494
Gm43558,7.86896832377271e-199,4.55239103787475
Tdgf1,6.83974579143628e-198,2.67118967790899
App,1.2648725898056e-197,0.91545482486055
P4hb,2.34622931771445e-197,1.33204471301872
Bmper,2.17465695082079e-196,1.87583318138461
Calu,2.89451154804513e-196,0.759929577094439
Erp29,5.77215179820737e-191,0.913234545029074
Hmga1,6.15443902743315e-189,1.49514822695134
Dab2,1.47426067628367e-186,3.69704908303405
Tdgf1-ps1,2.96245619291576e-185,1.88206907526594
Adam23,4.19275526821139e-184,1.50497367715182
Slc7a6,2.22930059403216e-183,0.923598808950557
Lrpap1,5.24415988810019e-181,1.93697800335635
Etv5,6.52801552594656e-181,1.74287144229264
Gm38312,1.49863554073864e-177,0.999801537673269
Hdlbp,5.91332610322858e-177,0.638088826512121
Igfbp2,2.75669828783665e-176,1.48328842056877
Ifitm1,4.85689270659724e-176,2.12984823681858
Fam25c,4.13215078820427e-175,2.8519396392546
Kdelr2,1.95352656093621e-173,0.802251325299566
Gm44206,2.14606558235381e-173,1.31312724063637
Rcn3,4.75658884532449e-173,1.25041804802986
Tax1bp3,1.13153407737135e-172,0.974575503408359
P4ha2,2.43986236482749e-172,3.34974190912615
Patj,1.34144516468084e-171,1.20331001994353
Hsd17b14,1.50741583813783e-171,0.566973242288236
Cst3,2.24363262363722e-171,1.3531523090929
Hmga1b,4.37643312906932e-170,3.73751968720688
Parp1,3.60956889357362e-169,0.68384483999474
Trim28,2.26236249469678e-168,0.540343786146654
Sox2,1.60469170331667e-167,1.17413923714087
AU018091,2.18260764788148e-163,1.09263888323716
Plod2,3.37746455011502e-163,2.11873540808745
Rrbp1,8.66786649923499e-163,1.13816971744711
Tcn2,2.11411389368674e-162,0.598389272514159
Rab3il1,3.71132920006738e-162,1.37192548210537
Hkdc1,3.82679787809278e-162,1.25117748463758
Pdia3,4.010527380514e-162,0.554303354927032
Surf4,9.10127331276832e-162,1.28222644970705
Txndc12,1.01944899737926e-161,0.680960739433228
Txndc5,3.80961265692272e-161,0.758274380344927
Rcc2,8.44169936195312e-161,0.847902249051078
Slc7a3,8.30290332550561e-160,1.94926632607028
Rbpms2,1.45116654616629e-158,0.674560104539571
Fam129b,1.79816328441447e-158,1.05633448143708
Dnajc10,5.7265523746322e-158,0.907473833434577
Klf2,6.80649087810095e-158,0.814942209976138
Tm9sf3,8.14823749210773e-158,0.264505225650553
Reep5,2.2887881201107e-156,0.299005949684319
Gm13597,2.3112119535973e-156,1.21619237535504
Irf2bpl,1.20638114895222e-155,0.376631541673792
Arhgap29,2.53728550225751e-155,1.5757663805479
Pdgfra,2.84024139324165e-155,2.20203099881545
Esrrb,4.91465373600946e-155,1.9100904076536
Creb3l2,1.44717118088051e-154,0.788658430326283
Pipox,2.3860294389739e-154,0.592734148186438
Rbpj,3.90800360780807e-153,0.887334973390154
Ppib,4.36696453489058e-153,0.453926259136957
Colgalt1,5.05424459178876e-153,0.591601090677703
Cd63,1.06782597707111e-152,1.13889921920056
Trp53,2.4033054021563e-151,0.808983754221029
Apobec3,3.9529934885107e-151,0.791189785554976
Appbp2,6.13068855818116e-151,0.469472804035327
Gdpd5,6.23319985355279e-150,1.65887406655934
Pcolce,9.07493476503457e-150,1.52513935051492
Trh,5.97752609939338e-149,2.52835853648275
Gpa33,3.36648396243868e-148,0.514075913811622
Ubqln2,3.53283002529077e-148,0.622288462422015
Pdcd6ip,3.86529143974128e-148,0.573026679046716
Tcea3,4.93710955454339e-148,0.517097865056693
Marc2,9.29416695355869e-148,1.22837888984744
Atp6v0e,1.22108597304027e-147,0.396043464253101
Ptpn14,6.98363626389459e-147,0.995061575298731
Tet1,9.20006670410903e-147,0.990820433683651
Arpc2,9.3233738019649e-147,0.366237476020914
Nid1,1.86200449293092e-146,1.4153552194904
Fkbp5,3.50640561512935e-146,0.379934843289681
Efemp2,1.05719229103069e-145,0.8817062823347
Lrp2,6.18545236115741e-145,1.80402672668089
Ckap4,2.90026925795366e-144,0.674464173637556
Man1a2,1.78724160703377e-143,0.912512467480512
Cemip,3.24682478721759e-143,1.30065694526194
