,VGAMpValue,Variance
AQP1,0,14.4416767942553
KLF1,0,14.1466667660254
GATA1,0,13.7703996870996
MFSD2B,0,13.5853142641086
ERMAP,0,14.4290475873021
RHD,0,13.324950884341
SPHK1,0,12.7067567140508
MT2,0,13.0216809975632
MT1,0,11.5932885141812
RHAG,0,12.8174244772985
CLDN13,0,12.5497331191029
SMIM1,0,11.6317409312435
NXPE2,0,9.9693163551253
PKLR,0,8.49675932696767
ATPIF1,0,2.56585911300426
RPL41,0,0.894823647530405
SLC25A21,6.50481888658127e-319,10.624864209917
ATP1B2,1.83563584905297e-314,13.5758091090393
CAR1,1.34039843731918e-312,16.3725690282273
ATP7B,2.26076700832211e-306,9.38193737521965
KEL,1.60061191673217e-302,11.9771287283305
TSPO2,1.2525170846085e-298,13.7491333634388
ADD2,1.51535415650622e-297,9.60433207249034
SLC38A5,1.95068329008319e-297,12.2827943935834
IFITM1,3.28847127363037e-297,12.8489906735101
GYPA,1.01740420382229e-296,11.8593760455194
HPN,9.35844474529304e-296,10.3966676128267
CCNE1,5.82823677163975e-286,10.5753005218263
EPOR,5.25112624303698e-284,12.8988593578245
TMSB4X,6.36786793894712e-280,5.86465154223066
CORO1A,1.94673397725991e-279,9.35246865131585
TMEM176B,9.3588148255395e-278,11.0179630594515
CITED4,3.05871449248734e-274,10.8204845505968
CKS2,8.09693803340788e-271,7.89944797646457
MNS1,9.09278321317254e-270,11.8503785512739
GM15915,1.58240413290672e-266,13.4558303120887
HLF,2.4085632031858e-264,13.1978867299899
STEAP3,4.19724672153435e-264,11.7693651811334
ABCB4,3.51677256636472e-263,10.6617195606219
PKM,2.65250008040961e-261,9.92389870102774
BLVRB,2.68803604228029e-260,12.4394019666266
CES2G,4.28647329476145e-258,14.5892145384017
LSP1,5.53964766015279e-252,12.2165027304985
NPM1,1.56286992257746e-251,1.4377983379859
TMEM56,5.14930135412729e-249,9.06327096947111
HSP90AA1,2.52943196236e-241,1.91306010462655
LY6A,2.65459060647348e-241,14.8813519623333
CCNA2,8.78648122039552e-241,12.1788537614947
LMNA,3.08239333105986e-240,9.14099349622294
SLC40A1,9.79525840576856e-240,11.1116152141142
COX6A1,6.73256470070643e-239,2.94066425633536
PAQR9,6.84225884564199e-238,7.5616168982786
EPDR1,2.02911094445484e-237,12.6991732935359
ST3GAL5,6.05404161647842e-237,11.3888863495127
SPTB,6.65574356393861e-237,7.60061649256872
LAPTM5,2.24282170356916e-236,5.8484626171645
RRM2,3.23955312499011e-235,12.5223172356234
LIMD2,6.0193526039451e-235,10.1781429471695
TNFAIP2,5.18930988764887e-234,12.4384753721628
CRIP2,1.57384057134408e-231,10.1782047524943
HMGB2,8.35416623195707e-231,5.8674732366645
BIRC5,9.91363586436174e-231,11.3525475091222
GM8203,1.18018498065612e-228,3.34312839059929
YBX1,3.6063582224468e-228,2.77060240601227
TSPAN8,1.53142466524142e-227,4.78054274035715
RPS27L,2.12506313474473e-224,2.60482580252916
ATP5G1,6.42260519071919e-223,3.69704178256495
GM12346,1.38926810459429e-221,2.09401852231349
HBA-A1,8.75472666637098e-220,7.52983959639807
TFRC,2.24951811783007e-219,10.563974938169
MPL,6.94578618054006e-219,15.6769962200122
CDCA3,1.70073772089699e-217,11.3908619762109
CTSE,2.15227672744417e-217,11.679740637316
SPC24,2.01999757376987e-216,9.80413376403398
TSPAN33,4.56214422434973e-216,10.1528417084961
STOM,4.74455943335049e-216,12.2319302093195
CPOX,4.44507743988843e-213,11.8981181425255
PRSS50,4.74130048323854e-213,10.902169677152
FTH1,2.54114057602595e-210,1.19520750930484
SOD1,4.6569936150272e-209,1.59220812135432
LCP1,1.33025019031864e-208,9.6798410155953
MKI67,1.82038685867016e-208,12.1291038923029
SH2D4A,2.71948103746404e-208,7.62052687170811
HSPE1,1.05658497098158e-207,3.73489122514493
C1QTNF12,2.21926818729866e-207,12.5455713483364
ABCG4,1.60029040611354e-204,7.24727514886946
GIMAP6,2.40836529562137e-201,12.2744266727119
CHCHD2,9.84312953294845e-201,1.68875915541742
LYZ2,3.84866778358395e-200,11.7498752653271
SAMD14,6.42059505754873e-200,11.0426598277576
DUT,2.25520140734692e-199,7.54820254971986
LTB,1.53252584818447e-198,12.9915842409484
ANGPT1,4.7070989747478e-198,9.94312827576738
GOLM1,1.15357481272956e-195,11.261239585653
MGLL,1.35484934080411e-195,7.13890370339155
CCNB2,1.68702775631566e-195,12.0216001469956
TMEM14C,2.04977324261031e-194,7.46115182477991
SPIRE1,9.09696274022877e-194,10.513699865799
MEIS1,2.12404997687767e-192,8.51301390763727
ARHGDIB,1.83049533045882e-191,4.79474369562654
CENPA,3.07515894009626e-191,12.2845504548479
MYH10,3.2628429221867e-191,9.73064999812943
PLA2G12A,1.24244126019038e-190,11.8391757607336
GATM,3.24743602461776e-190,11.6729795522013
GM10039,9.13044164303542e-190,4.24332536091614
SLC16A10,1.28802013962431e-187,8.10987668716547
CDCA8,2.49861694798267e-187,11.1491250188013
CTLA2A,3.93837213580084e-187,11.6556742159207
HMBS,1.49766432003541e-185,9.84926469678924
