,VGAMpValue,Variance
PLAC8,1.81257412585821e-301,9.83236936967988
MPO,5.60069612194021e-216,15.0084748699868
MPL,1.06445145232267e-188,14.8919917415583
CD48,6.62044149499268e-182,12.0691647726869
PDZK1IP1,3.01933319173302e-178,12.6756460461575
CST7,5.80775427109906e-178,11.9012603460807
CTSG,7.36519812404852e-178,16.9996218962159
CAR2,1.69532675904916e-162,5.25396575381442
TYROBP,6.28040224074026e-160,13.1688943577771
RAB44,4.54731643068346e-154,12.7391245194678
CDK6,2.13265103677703e-152,6.05933232546048
CLEC12A,2.66055156430762e-152,13.0240083434987
HLF,4.29706532061066e-150,11.1805364755438
H2AFY,4.44691540042262e-149,3.05528767361865
ATP8B4,2.88874095274552e-148,11.4120965119512
LTB,1.42741287900868e-146,12.9881738894536
BC035044,5.25211559577525e-144,12.0057807352974
CKS2,5.99434614304432e-142,6.39167242249869
ADGRG3,9.66872916707021e-136,10.5700036408853
SELL,6.54770786250278e-135,12.4076423440744
LY6A,1.56144240147385e-132,12.8813229980018
IFITM1,1.65535716062453e-131,5.76583460168187
NKG7,1.87806944251443e-130,11.6014775829898
HMGB2,1.45438196916316e-124,4.80196024489072
CKS1B,1.40190160164569e-122,8.05186004123595
GIMAP6,2.26407342755252e-120,9.90131353158811
YBX1,3.43454637976828e-120,2.15868814437998
F630028O10RIK,2.62956933279431e-116,12.1898380020979
UHRF1,8.83305802522308e-116,9.44309777822987
AP3S1,1.14078833766369e-115,10.8528164979228
ANXA3,8.36751795858542e-115,11.2876856571891
GM8203,2.24310829179164e-112,2.42956780476303
PCLAF,1.19042061528945e-111,9.92777524377117
RPL41,4.50167218880403e-111,0.411175452759799
ATPIF1,7.55626897847348e-111,1.19648630002348
CCL9,1.43639908439701e-108,13.3873502980077
PROCR,1.14547954159385e-107,12.7453652709046
TGM2,1.20217824339452e-107,10.4431501953686
MLLT3,1.68128620697905e-107,9.6902215305101
TXNIP,1.34655911628696e-106,6.41874521947456
ELANE,2.04635097052856e-106,15.7796733597967
LGALS1,2.8938869739066e-106,8.47664741702271
MCM5,2.25056725183498e-104,9.30069077279002
GMNN,8.5457806073404e-101,8.84713950106756
SDF2L1,1.71869766260797e-99,9.37251025989557
RRM2,6.58229413190968e-99,8.69503845771056
SERPINB1A,1.77731302957961e-98,10.1320821332397
CDT1,1.78201992441077e-97,9.80838398356749
RPS27L,3.07295243060039e-97,1.77096736244389
SPC24,3.09068968893483e-97,7.24660362270218
CD52,1.18390155211823e-96,8.84735331788264
YBX3,3.11522460785832e-96,7.75729255874939
HP,1.40969994268142e-94,8.3394738399537
EPX,2.09846676827305e-94,1.63773589643319
MECOM,2.10909473204261e-94,7.96828630680652
DYNLL1,2.13273214920161e-93,3.8930972440544
