,VGAMpValue,Variance
PLAC8,2.12487604495278e-201,7.45886654519193
H2AFY,9.10694751539694e-173,3.34140337288396
FLT3,1.04343458148557e-164,12.0208117765519
PDZK1IP1,4.96528029888661e-141,12.4131938112419
DNTT,7.45352257190737e-128,14.7602781244134
CD52,4.57396162528289e-116,9.22819700313989
CD53,1.46389152940106e-110,10.2569830421326
WFDC17,1.27112060653716e-109,13.5858582225361
BC035044,4.09441108398006e-109,11.1184386719587
TGM2,2.20321806990765e-104,10.7481335277996
CD34,1.29873533764491e-103,6.9869030410829
SATB1,2.75980740197052e-101,9.93220127358835
ADGRG3,2.15199413552025e-100,11.0101570483508
MPL,1.81606974231293e-99,11.742877734257
SERPINB1A,4.78763130861979e-98,10.5978235716661
TESPA1,1.52489031216294e-95,10.6060861184672
APOE,4.86499760170572e-95,8.66235492683002
H2-OB,7.5062179388835e-88,12.7726299258611
TRIM47,5.07831836424459e-87,12.2820370814212
GNG11,1.10725974601845e-82,10.362873143633
MLLT3,1.82363720978891e-80,9.4422601874259
CRIP1,2.4279251987272e-80,4.724427927133
IL12A,1.07605568826066e-79,11.4769229133149
EMB,3.20021671748253e-75,7.37245869886352
RAMP1,4.50889142132509e-75,4.41493107553944
AC174780.1,2.24180668625785e-74,8.65519442555317
MMRN1,5.24672435457979e-69,11.8000190425999
PROCR,5.3073509384634e-69,12.8448614902613
IGHV1-81,1.10930061201846e-65,5.25993486045406
SLC18A2,2.23163209409828e-64,11.1086766181667
CD48,4.77415301001182e-64,9.99233899764235
ESAM,3.24708089986234e-63,12.3068981782427
NCF1,6.32364864208012e-63,10.5295875510183
GATA2,2.78257486852501e-59,8.88894972522358
SERPINA3G,3.41622963366893e-59,12.0353510383949
IFITM1,7.83095738487476e-58,3.31325262108172
SH2D5,4.02664633556984e-56,10.7671689854887
IGHM,4.84277899571014e-56,10.6125490900554
TINAGL1,6.12426061561617e-56,8.3755765403803
CD63,1.44466335475614e-55,6.86190777046959
SLC35D3,3.65612061064345e-55,9.59148605708753
CD63-PS,8.61100295220173e-51,6.7015780958365
CDKN1C,3.24922844814738e-50,7.42559484475044
IL1R1,5.01767371911459e-50,9.55040423336115
DHRS3,5.88327655854653e-50,11.312779593538
NKG7,5.47843349696908e-49,9.07220379849158
IGHV1-77,1.01515012088659e-48,7.23513987887934
SULT1A1,1.14477211515825e-48,7.11277258479264
ADGRG1,1.60880944216772e-48,2.58645109979261
TYROBP,3.36382150737402e-48,9.54377760811417
MECOM,5.82312075046424e-48,7.80265821165425
TNS2,4.25023127435689e-47,5.10902135648803
WFDC18,1.37866429775761e-46,7.0681122241445
SCARF1,2.13232045828437e-46,9.7201997007021
TIE1,6.22675018134159e-46,9.88390955452056
DOCK10,6.33070080786028e-43,8.40605932158936
TBXAS1,2.13404711312152e-42,11.4274409309431
VWF,2.62021106367767e-42,3.14848677903076
CDK6,2.65459793244142e-42,5.25227287121127
CCL3,2.06439272609282e-41,12.0775375093169
UCP2,2.19702666301944e-41,2.58487698927255
PLEK,2.59715183636011e-41,11.3282316584891
NDN,3.58560373549599e-41,9.73805484971594
HID1,6.76530327711231e-41,7.10195904714847
ITGAL,9.16183396659097e-41,7.90452898745659
IFI27L2A,2.41351707627728e-40,8.72615438549321
SDC1,2.66900877769763e-40,10.1327993552753
RAB38,5.17718446059655e-40,8.31620816897537
SOCS2,6.22987689106653e-40,6.94746371312994
CD9,2.81540814059503e-39,10.0972004840916
ITSN1,6.34230652747339e-39,9.4074970423309
MAMDC2,1.50960230135835e-38,8.0615471381321
LHCGR,1.58445368477168e-38,6.70198893541609
MN1,2.10192850678117e-38,8.10053984886283
PLXDC2,3.85821112359683e-38,7.42987151795472
OBSCN,1.68569138604231e-37,6.17293312235287
9030619P08RIK,9.99243573723735e-37,10.4781245580755
TRPC6,2.39156558146668e-36,9.01409522615299
HACD4,4.80632419715889e-36,11.8565418118637
TLR7,1.80903834880394e-35,4.89847791396793
DDX4,7.12000262758641e-35,8.8718638567244
CISH,8.53575566907394e-35,11.2131622657031
RGS2,2.77115495505784e-34,10.3912066277405
SSTR2,1.20441761123223e-33,8.1136099797241
MYCT1,4.1851318975955e-33,9.10520480095606
D630039A03RIK,4.20093010450357e-33,5.6736821583623
TMEM246,4.56297987860615e-33,6.94998414188967
